model_name,rating
"Luigi (Charles Martinet) (fixed version)",5
"Mario (Charles Martinet, 1994-2023) (New!)",5
"Shrek (New)",5
"GLaDOS (Ellen McLain)",5
"GLaDOS (Ellen McLain, Portal 2)",5
"Morgan Freeman (New)",5
"Kurzgesagt (New)",5
"Weird Al" Yankovic,3.5
"Shaggy Rogers (Scott Innes)",4
"Shadow The Hedgehog (Jason Griffith)",3.75
"Tom Cruise (New)",4.5
"Elon Musk (New Version 2.0)",3.5
"Donald Trump (Version 3.0)",4
"Joe Biden (New, 46th U.S. President)",5
"Barack Obama (NEW, 44th U.S. President)",5
"Toad (Super Mario, Jen Taylor)",3
